zona_geo_h,hospedes_tipo_aloj,hospedes_anos,hospedes_mes,textbox9,textbox23,textbox25,textbox27,textbox28,textbox29
Ilha de Santa Maria,Hotelaria Tradicional,2013,Junho,  653, 6 610, 162 211, 1 038, 9 814, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2013,Julho,  901, 6 610, 162 211, 1 417, 9 814, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2013,Agosto, 1 185, 6 610, 162 211, 2 539, 9 814, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2013,Setembro,  697, 6 610, 162 211, 1 006, 9 814, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2013,Outubro,  418, 6 610, 162 211,  471, 9 814, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2013,Novembro,  400, 6 610, 162 211,  462, 9 814, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2013,Dezembro,  341, 6 610, 162 211,  381, 9 814, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2014,Janeiro,  289, 7 509, 162 211,  401, 11 416, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2014,Fevereiro,  330, 7 509, 162 211,  427, 11 416, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2014,Março,  598, 7 509, 162 211,  679, 11 416, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2014,Abril,  281, 7 509, 162 211,  371, 11 416, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2014,Maio,  779, 7 509, 162 211,  962, 11 416, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2014,Junho,  701, 7 509, 162 211, 1 000, 11 416, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2014,Julho,  921, 7 509, 162 211, 1 874, 11 416, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2014,Agosto, 1 374, 7 509, 162 211, 2 952, 11 416, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2014,Setembro,  799, 7 509, 162 211, 1 086, 11 416, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2014,Outubro,  566, 7 509, 162 211,  647, 11 416, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2014,Novembro,  548, 7 509, 162 211,  653, 11 416, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2014,Dezembro,  323, 7 509, 162 211,  364, 11 416, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2015,Janeiro,  446, 8 187, 162 211,  489, 11 669, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2015,Fevereiro,  570, 8 187, 162 211,  674, 11 669, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2015,Março,  620, 8 187, 162 211,  697, 11 669, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2015,Abril,  487, 8 187, 162 211,  580, 11 669, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2015,Maio,  493, 8 187, 162 211,  698, 11 669, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2015,Junho,  669, 8 187, 162 211,  904, 11 669, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2015,Julho, 1 203, 8 187, 162 211, 1 857, 11 669, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2015,Agosto, 1 379, 8 187, 162 211, 2 729, 11 669, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2015,Setembro, 1 007, 8 187, 162 211, 1 473, 11 669, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2015,Outubro,  598, 8 187, 162 211,  722, 11 669, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2015,Novembro,  447, 8 187, 162 211,  509, 11 669, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2015,Dezembro,  268, 8 187, 162 211,  337, 11 669, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2016,Janeiro,  520, 8 727, 162 211,  587, 13 295, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2016,Fevereiro,  574, 8 727, 162 211,  713, 13 295, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2016,Março,  701, 8 727, 162 211,  885, 13 295, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2016,Abril,  559, 8 727, 162 211,  759, 13 295, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2016,Maio,  800, 8 727, 162 211, 1 011, 13 295, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2016,Junho,  553, 8 727, 162 211,  927, 13 295, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2016,Julho, 1 271, 8 727, 162 211, 2 284, 13 295, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2016,Agosto, 1 305, 8 727, 162 211, 2 723, 13 295, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2016,Setembro, 1 164, 8 727, 162 211, 1 806, 13 295, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2016,Outubro,  517, 8 727, 162 211,  657, 13 295, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2016,Novembro,  471, 8 727, 162 211,  553, 13 295, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2016,Dezembro,  292, 8 727, 162 211,  390, 13 295, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2017,Janeiro,  509, 9 676, 162 211,  601, 14 724, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2017,Fevereiro,  579, 9 676, 162 211,  731, 14 724, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2017,Março,  637, 9 676, 162 211,  794, 14 724, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2017,Abril,  464, 9 676, 162 211,  585, 14 724, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2017,Maio,  817, 9 676, 162 211, 1 117, 14 724, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2017,Junho,  838, 9 676, 162 211, 1 309, 14 724, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2017,Julho, 1 394, 9 676, 162 211, 2 329, 14 724, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2017,Agosto, 1 811, 9 676, 162 211, 3 413, 14 724, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2017,Setembro, 1 257, 9 676, 162 211, 2 173, 14 724, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2017,Outubro,  561, 9 676, 162 211,  726, 14 724, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2017,Novembro,  519, 9 676, 162 211,  623, 14 724, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2017,Dezembro,  290, 9 676, 162 211,  323, 14 724, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2018,Janeiro,  424, 10 212, 162 211,  484, 15 599, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2018,Fevereiro,  510, 10 212, 162 211,  669, 15 599, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2018,Março,  481, 10 212, 162 211,  638, 15 599, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2018,Abril,  747, 10 212, 162 211,  936, 15 599, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2018,Maio,  606, 10 212, 162 211,  911, 15 599, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2018,Junho, 1 365, 10 212, 162 211, 1 841, 15 599, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2018,Julho, 1 431, 10 212, 162 211, 2 294, 15 599, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2018,Agosto, 1 816, 10 212, 162 211, 3 644, 15 599, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2018,Setembro, 1 472, 10 212, 162 211, 2 328, 15 599, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2018,Outubro,  605, 10 212, 162 211,  889, 15 599, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2018,Novembro,  413, 10 212, 162 211,  569, 15 599, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2018,Dezembro,  342, 10 212, 162 211,  396, 15 599, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2019,Janeiro,  369, 10 358, 162 211,  502, 16 456, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2019,Fevereiro,  579, 10 358, 162 211,  744, 16 456, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2019,Março,  484, 10 358, 162 211,  724, 16 456, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2019,Abril,  528, 10 358, 162 211,  808, 16 456, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2019,Maio,  736, 10 358, 162 211,  959, 16 456, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2019,Junho,  987, 10 358, 162 211, 1 589, 16 456, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2019,Julho, 1 645, 10 358, 162 211, 2 681, 16 456, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2019,Agosto, 2 118, 10 358, 162 211, 4 172, 16 456, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2019,Setembro, 1 673, 10 358, 162 211, 2 685, 16 456, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2019,Outubro,  566, 10 358, 162 211,  768, 16 456, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2019,Novembro,  434, 10 358, 162 211,  541, 16 456, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2019,Dezembro,  239, 10 358, 162 211,  283, 16 456, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2020,Janeiro,  549, 4 996, 162 211,  649, 6 426, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2020,Fevereiro,  729, 4 996, 162 211,  875, 6 426, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2020,Março,  428, 4 996, 162 211,  601, 6 426, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2020,Abril,-, 4 996, 162 211,  4, 6 426, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2020,Maio,-, 4 996, 162 211,  3, 6 426, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2020,Junho,  129, 4 996, 162 211,  156, 6 426, 221 409
