Sector2,Ano2,MesDesc2,textbox_MatrixRow_EnergiaConsumida2,Textbox11,
Comércio e Serviços,2000,Abril,9 544 139,34 784 898,
Comércio e Serviços,2000,Maio,10 123 307,36 392 403,
Comércio e Serviços,2000,Junho,10 322 435,36 387 031,
Comércio e Serviços,2000,Julho,10 921 395,37 215 691,
Comércio e Serviços,2000,Agosto,11 665 587,39 389 736,
Comércio e Serviços,2000,Setembro,11 470 316,39 987 763,
Comércio e Serviços,2000,Outubro,11 649 871,39 901 853,
Comércio e Serviços,2000,Novembro,11 472 035,39 883 839,
Comércio e Serviços,2000,Dezembro,10 488 836,37 196 263,
Comércio e Serviços,2001,Janeiro,11 293 432,41 114 448,
Comércio e Serviços,2001,Fevereiro,9 565 637,36 375 553,
Comércio e Serviços,2001,Março,10 474 754,38 828 616,
Comércio e Serviços,2001,Abril,10 497 544,38 517 820,
Comércio e Serviços,2001,Maio,11 292 584,40 676 518,
Comércio e Serviços,2001,Junho,11 040 452,38 705 833,
Comércio e Serviços,2001,Julho,11 919 158,40 742 436,
Comércio e Serviços,2001,Agosto,13 381 070,43 452 761,
Comércio e Serviços,2001,Setembro,13 416 711,43 123 742,
Comércio e Serviços,2001,Outubro,13 250 178,42 460 937,
Comércio e Serviços,2001,Novembro,12 481 832,42 515 047,
Comércio e Serviços,2001,Dezembro,11 094 836,38 687 575,
Comércio e Serviços,2002,Janeiro,12 800 488,45 738 629,
Comércio e Serviços,2002,Fevereiro,11 582 082,41 778 115,
Comércio e Serviços,2002,Março,10 894 637,39 575 220,
Comércio e Serviços,2002,Abril,11 629 966,42 311 647,
Comércio e Serviços,2002,Maio,12 672 845,43 887 019,
Comércio e Serviços,2002,Junho,12 791 658,42 636 599,
Comércio e Serviços,2002,Julho,13 610 637,43 853 555,
Comércio e Serviços,2002,Agosto,15 214 596,46 996 834,
Comércio e Serviços,2002,Setembro,14 234 117,46 004 940,
Comércio e Serviços,2002,Outubro,13 741 858,45 462 633,
Comércio e Serviços,2002,Novembro,13 795 156,46 256 487,
Comércio e Serviços,2002,Dezembro,12 651 109,41 268 496,
Comércio e Serviços,2003,Janeiro,14 228 217,48 509 513,
Comércio e Serviços,2003,Fevereiro,12 812 283,45 178 475,
Comércio e Serviços,2003,Março,12 218 187,43 123 925,
Comércio e Serviços,2003,Abril,13 383 891,45 035 600,
Comércio e Serviços,2003,Maio,13 415 763,44 688 310,
Comércio e Serviços,2003,Junho,13 922 320,45 596 997,
Comércio e Serviços,2003,Julho,14 842 412,46 554 441,
Comércio e Serviços,2003,Agosto,15 697 651,47 350 669,
Comércio e Serviços,2003,Setembro,16 310 824,48 868 122,
Comércio e Serviços,2003,Outubro,16 785 887,50 041 865,
Comércio e Serviços,2003,Novembro,15 525 814,47 441 850,
Comércio e Serviços,2003,Dezembro,15 625 451,47 747 483,
Comércio e Serviços,2004,Janeiro,16 542 833,50 233 494,
Comércio e Serviços,2004,Fevereiro,14 834 487,46 510 730,
Comércio e Serviços,2004,Março,14 925 010,49 549 697,
Comércio e Serviços,2004,Abril,16 446 705,51 871 794,
Comércio e Serviços,2004,Maio,15 342 556,48 079 244,
Comércio e Serviços,2004,Junho,17 061 094,50 449 769,
Comércio e Serviços,2004,Julho,18 236 550,52 002 164,
Comércio e Serviços,2004,Agosto,18 831 352,52 824 453,
Comércio e Serviços,2004,Setembro,19 615 162,54 944 479,
Comércio e Serviços,2004,Outubro,18 223 252,55 443 159,
Comércio e Serviços,2004,Novembro,17 581 466,54 003 871,
Comércio e Serviços,2004,Dezembro,17 775 127,56 109 407,
Comércio e Serviços,2005,Janeiro,16 361 409,54 572 016,
Comércio e Serviços,2005,Fevereiro,16 269 293,52 583 650,
Comércio e Serviços,2005,Março,17 278 543,55 264 469,
Comércio e Serviços,2005,Abril,16 294 788,53 839 766,
Comércio e Serviços,2005,Maio,16 835 778,53 963 330,
Comércio e Serviços,2005,Junho,18 142 960,56 092 314,
Comércio e Serviços,2005,Julho,17 759 401,54 427 381,
Comércio e Serviços,2005,Agosto,20 310 127,59 248 674,
Comércio e Serviços,2005,Setembro,20 344 184,59 073 665,
Comércio e Serviços,2005,Outubro,19 002 091,56 926 263,
Comércio e Serviços,2005,Novembro,18 135 970,55 757 369,
Comércio e Serviços,2005,Dezembro,17 602 085,55 772 552,
Comércio e Serviços,2006,Janeiro,18 386 105,57 946 841,
Comércio e Serviços,2006,Fevereiro,15 935 876,54 166 490,
Comércio e Serviços,2006,Março,18 225 252,59 635 501,
Comércio e Serviços,2006,Abril,16 265 431,53 792 510,
Comércio e Serviços,2006,Maio,18 519 695,59 986 124,
Comércio e Serviços,2006,Junho,17 998 755,56 911 744,
Comércio e Serviços,2006,Julho,19 053 058,57 257 106,
Comércio e Serviços,2006,Agosto,21 912 550,62 710 518,
Comércio e Serviços,2006,Setembro,20 468 303,60 804 226,
Comércio e Serviços,2006,Outubro,20 050 437,61 010 211,
Comércio e Serviços,2006,Novembro,18 817 275,58 289 269,
Comércio e Serviços,2006,Dezembro,19 503 759,60 657 363,
Comércio e Serviços,2007,Janeiro,19 112 576,60 962 044,
Comércio e Serviços,2007,Fevereiro,17 948 536,58 078 610,
Comércio e Serviços,2007,Março,17 866 810,60 172 735,
Comércio e Serviços,2007,Abril,17 735 782,57 854 129,
Comércio e Serviços,2007,Maio,19 549 801,60 807 790,
Comércio e Serviços,2007,Junho,19 430 491,59 509 146,
Comércio e Serviços,2007,Julho,20 835 678,60 628 670,
Comércio e Serviços,2007,Agosto,22 524 835,64 380 839,
Comércio e Serviços,2007,Setembro,22 110 636,62 899 805,
Comércio e Serviços,2007,Outubro,21 263 724,62 861 401,
Comércio e Serviços,2007,Novembro,19 920 213,60 095 189,
Comércio e Serviços,2007,Dezembro,19 539 575,60 015 108,
Comércio e Serviços,2008,Janeiro,20 821 954,65 288 766,
Comércio e Serviços,2008,Fevereiro,18 645 125,60 548 955,
Comércio e Serviços,2008,Março,17 650 538,58 478 484,
Comércio e Serviços,2008,Abril,18 664 700,59 038 760,
Comércio e Serviços,2008,Maio,21 063 189,63 988 139,
Comércio e Serviços,2008,Junho,19 768 779,59 552 507,
Comércio e Serviços,2008,Julho,22 195 524,64 127 370,
Comércio e Serviços,2008,Agosto,23 968 496,66 155 821,
Comércio e Serviços,2008,Setembro,23 274 791,64 784 090,
Comércio e Serviços,2008,Outubro,23 463 218,67 738 226,
Comércio e Serviços,2008,Novembro,20 575 384,62 015 172,
Comércio e Serviços,2008,Dezembro,20 170 734,61 985 825,
Comércio e Serviços,2009,Janeiro,21 395 714,65 185 488,
Comércio e Serviços,2009,Fevereiro,18 256 725,58 131 616,
Comércio e Serviços,2009,Março,18 705 157,61 426 683,
Comércio e Serviços,2009,Abril,19 685 582,62 782 565,
Comércio e Serviços,2009,Maio,19 699 944,61 219 909,
Comércio e Serviços,2009,Junho,19 719 139,60 028 950,
Comércio e Serviços,2009,Julho,21 934 358,64 563 236,
Comércio e Serviços,2009,Agosto,22 666 916,64 588 539,
Comércio e Serviços,2009,Setembro,23 649 208,66 558 532,
Comércio e Serviços,2009,Outubro,22 543 074,66 618 130,
Comércio e Serviços,2009,Novembro,20 251 298,61 621 589,
Comércio e Serviços,2009,Dezembro,20 597 659,64 022 070,
Comércio e Serviços,2010,Janeiro,20 728 533,65 790 155,
Comércio e Serviços,2010,Fevereiro,18 356 975,60 277 859,
Comércio e Serviços,2010,Março,19 152 044,64 143 707,
Comércio e Serviços,2010,Abril,19 827 200,64 715 359,
Comércio e Serviços,2010,Maio,19 951 839,63 116 383,
Comércio e Serviços,2010,Junho,20 700 392,63 081 945,
Comércio e Serviços,2010,Julho,23 049 768,66 244 799,
Comércio e Serviços,2010,Agosto,23 704 853,66 974 884,
Comércio e Serviços,2010,Setembro,24 490 713,69 096 436,
Comércio e Serviços,2010,Outubro,23 033 587,67 613 265,
Comércio e Serviços,2010,Novembro,20 963 585,63 258 867,
Comércio e Serviços,2010,Dezembro,20 774 696,64 328 027,
Comércio e Serviços,2011,Janeiro,21 055 136,66 036 782,
Comércio e Serviços,2011,Fevereiro,18 457 238,60 873 759,
Comércio e Serviços,2011,Março,19 993 700,65 375 540,
Comércio e Serviços,2011,Abril,19 047 391,61 009 283,
Comércio e Serviços,2011,Maio,20 098 058,63 639 402,
Comércio e Serviços,2011,Junho,20 775 383,62 205 387,
Comércio e Serviços,2011,Julho,21 932 028,63 616 353,
Comércio e Serviços,2011,Agosto,24 340 509,68 592 305,
Comércio e Serviços,2011,Setembro,24 656 816,68 959 235,
Comércio e Serviços,2011,Outubro,22 220 347,65 613 736,
Comércio e Serviços,2011,Novembro,20 251 673,62 041 513,
Comércio e Serviços,2011,Dezembro,20 116 451,62 793 703,
Comércio e Serviços,2012,Janeiro,19 029 742,60 722 083,
Comércio e Serviços,2012,Fevereiro,18 633 754,59 021 581,
Comércio e Serviços,2012,Março,19 690 270,61 373 319,
Comércio e Serviços,2012,Abril,19 065 892,59 236 997,
Comércio e Serviços,2012,Maio,20 465 570,61 557 107,
Comércio e Serviços,2012,Junho,20 292 397,58 938 212,
Comércio e Serviços,2012,Julho,22 087 813,62 223 383,
Comércio e Serviços,2012,Agosto,23 382 686,64 312 825,
Comércio e Serviços,2012,Setembro,22 285 920,62 545 816,
Comércio e Serviços,2012,Outubro,21 256 471,62 948 476,
Comércio e Serviços,2012,Novembro,19 805 916,60 785 941,
Comércio e Serviços,2012,Dezembro,18 596 091,57 672 082,
Comércio e Serviços,2013,Janeiro,19 965 831,63 277 051,
Comércio e Serviços,2013,Fevereiro,17 320 993,55 971 285,
Comércio e Serviços,2013,Março,17 705 871,56 078 391,
Comércio e Serviços,2013,Abril,18 337 827,58 509 340,
Comércio e Serviços,2013,Maio,19 342 920,60 536 589,
Comércio e Serviços,2013,Junho,19 151 174,57 530 854,
Comércio e Serviços,2013,Julho,21 315 729,60 384 726,
Comércio e Serviços,2013,Agosto,23 107 869,63 984 695,
Comércio e Serviços,2013,Setembro,21 787 456,61 942 347,
Comércio e Serviços,2013,Outubro,21 693 767,63 447 905,
Comércio e Serviços,2013,Novembro,20 097 277,60 655 545,
Comércio e Serviços,2013,Dezembro,18 772 620,57 349 266,
Comércio e Serviços,2014,Janeiro,19 767 505,62 768 667,
Comércio e Serviços,2014,Fevereiro,17 237 308,55 987 049,
Comércio e Serviços,2014,Março,18 111 457,57 779 921,
Comércio e Serviços,2014,Abril,17 954 755,55 844 612,
Comércio e Serviços,2014,Maio,19 935 966,60 704 145,
Comércio e Serviços,2014,Junho,19 570 862,57 447 463,
Comércio e Serviços,2014,Julho,22 017 569,61 906 945,
Comércio e Serviços,2014,Agosto,23 702 818,64 553 123,
Comércio e Serviços,2014,Setembro,21 829 243,61 442 558,
Comércio e Serviços,2014,Outubro,21 979 246,63 669 742,
Comércio e Serviços,2014,Novembro,19 574 644,58 141 037,
Comércio e Serviços,2014,Dezembro,19 040 835,58 102 034,
Comércio e Serviços,2015,Janeiro,19 542 341,61 258 722,
Comércio e Serviços,2015,Fevereiro,17 681 053,55 814 212,
Comércio e Serviços,2015,Março,18 499 909,58 129 297,
Comércio e Serviços,2015,Abril,18 573 350,57 900 468,
Comércio e Serviços,2015,Maio,19 507 703,58 373 792,
Comércio e Serviços,2015,Junho,20 034 971,57 864 851,
Comércio e Serviços,2015,Julho,23 676 065,64 561 727,
Comércio e Serviços,2015,Agosto,23 440 058,64 187 207,
Comércio e Serviços,2015,Setembro,22 647 902,63 051 011,
Comércio e Serviços,2015,Outubro,22 787 570,63 330 755,
Comércio e Serviços,2015,Novembro,18 995 782,57 578 807,
Comércio e Serviços,2015,Dezembro,19 702 792,59 643 691,
Comércio e Serviços,2016,Janeiro,19 917 732,61 454 464,
Comércio e Serviços,2016,Fevereiro,17 936 828,57 197 919,
Comércio e Serviços,2016,Março,19 223 745,60 195 383,
Comércio e Serviços,2016,Abril,19 134 296,58 961 560,
Comércio e Serviços,2016,Maio,19 975 508,59 639 326,
Comércio e Serviços,2016,Junho,20 484 115,58 436 442,
Comércio e Serviços,2016,Julho,22 782 930,61 585 164,
Comércio e Serviços,2016,Agosto,25 293 264,67 287 854,
Comércio e Serviços,2016,Setembro,24 321 721,66 001 018,
Comércio e Serviços,2016,Outubro,22 123 149,62 021 627,
Comércio e Serviços,2016,Novembro,20 625 679,59 759 041,
Comércio e Serviços,2016,Dezembro,20 189 580,59 553 666,
Comércio e Serviços,2017,Janeiro,19 875 520,60 253 322,
Comércio e Serviços,2017,Fevereiro,18 009 461,55 580 363,
Comércio e Serviços,2017,Março,19 998 828,60 674 024,
Comércio e Serviços,2017,Abril,18 621 506,57 029 118,
Comércio e Serviços,2017,Maio,20 187 979,60 334 366,
Comércio e Serviços,2017,Junho,20 854 841,59 650 780,
Comércio e Serviços,2017,Julho,22 848 339,62 865 405,
Comércio e Serviços,2017,Agosto,24 750 281,65 738 626,
Comércio e Serviços,2017,Setembro,23 479 464,65 566 267,
Comércio e Serviços,2017,Outubro,23 086 642,64 859 637,
Comércio e Serviços,2017,Novembro,21 129 967,61 714 616,
Comércio e Serviços,2017,Dezembro,20 254 634,60 316 275,
Comércio e Serviços,2018,Janeiro,20 060 574,61 892 639,
Comércio e Serviços,2018,Fevereiro,18 362 555,57 284 013,
Comércio e Serviços,2018,Março,19 186 393,58 371 626,
Comércio e Serviços,2018,Abril,18 968 086,58 115 592,
Comércio e Serviços,2018,Maio,20 584 604,61 674 091,
