Origem,Ano,MesDesc,textbox_MatrixRow_EnergiaProduzida,Textbox32,
Biogás,2009,Março, 19 242,67 677 227,
Biogás,2009,Abril,664,64 806 354,
Biogás,2009,Maio,120,67 098 470,
Biogás,2009,Junho,406,65 928 938,
Biogás,2009,Julho, 14 791,71 701 902,
Biogás,2009,Agosto, 21 805,74 002 427,
Biogás,2009,Setembro, 5 340,71 946 147,
Biogás,2009,Outubro, 6 611,72 116 294,
Biogás,2009,Novembro, 22 173,68 140 869,
Biogás,2009,Dezembro, 18 566,72 955 622,
Biogás,2010,Janeiro, 15 111,72 590 258,
Biogás,2010,Fevereiro, 26 914,64 619 311,
Biogás,2010,Março, 39 871,71 184 829,
Biogás,2010,Abril, 31 786,66 584 194,
Biogás,2010,Maio, 24 537,67 543 151,
Biogás,2010,Junho, 2 537,67 399 324,
Biogás,2010,Julho, 1 295,74 015 737,
Biogás,2010,Agosto, 20 294,76 117 370,
Biogás,2010,Setembro, 51 535,73 132 225,
Biogás,2010,Outubro, 16 335,71 770 082,
Biogás,2010,Novembro, 7 708,69 471 816,
Biogás,2010,Dezembro, 17 277,75 335 524,
Biogás,2011,Janeiro, 1 867,72 837 895,
Biogás,2011,Fevereiro, 44 671,64 428 979,
Biogás,2011,Março, 63 132,70 293 488,
Biogás,2011,Abril, 36 329,65 280 542,
Biogás,2011,Maio, 46 833,67 313 010,
Biogás,2011,Junho, 3 485,67 786 115,
Biogás,2011,Julho, 36 378,73 261 167,
Biogás,2011,Agosto, 24 281,78 103 192,
Biogás,2011,Setembro, 18 345,72 508 489,
Biogás,2011,Outubro, 12 359,70 814 671,
Biogás,2011,Novembro, 24 262,67 838 393,
Biogás,2011,Dezembro, 12 395,69 561 736,
Biogás,2012,Janeiro, 4 136,68 068 209,
Biogás,2012,Fevereiro, 3 525,63 091 615,
Biogás,2012,Março, 2 358,66 164 799,
Biogás,2012,Abril, 13 270,62 502 360,
Biogás,2012,Maio,352,65 848 651,
Biogás,2012,Junho, 23 585,66 495 423,
Biogás,2012,Julho, 30 418,70 495 795,
Biogás,2012,Agosto, 11 056,72 201 973,
Biogás,2012,Setembro, 19 897,68 155 292,
Biogás,2012,Outubro, 7 099,68 781 100,
Biogás,2012,Novembro, 45 230,64 858 630,
Biogás,2012,Dezembro, 29 289,67 896 999,
Biogás,2013,Janeiro, 31 598,67 357 925,
Biogás,2013,Fevereiro, 2 219,59 116 544,
Biogás,2013,Março, 16 378,66 093 832,
Biogás,2013,Abril, 8 856,62 542 579,
Biogás,2013,Maio, 4 908,63 708 146,
Biogás,2013,Junho,72,63 187 687,
Biogás,2013,Julho, 6 459,69 687 676,
Biogás,2013,Agosto, 20 377,71 695 886,
Biogás,2013,Setembro, 23 093,68 117 502,
Biogás,2013,Outubro,140,68 444 571,
Biogás,2013,Novembro,178,64 717 979,
Biogás,2013,Dezembro, 1 855,67 795 027,
Biogás,2014,Janeiro, 25 477,67 180 137,
Biogás,2014,Fevereiro, 28 372,60 411 676,
Biogás,2014,Março,183,63 673 331,
Biogás,2014,Abril, 33 896,61 661 618,
Biogás,2014,Maio, 1 319,64 104 349,
Biogás,2014,Junho, 6 753,63 856 722,
Biogás,2014,Julho, 3 287,69 760 656,
Biogás,2014,Agosto, 1 296,73 456 623,
Biogás,2014,Setembro, 33 687,66 769 016,
Biogás,2014,Outubro, 8 296,67 039 648,
Biogás,2014,Novembro,194,63 378 206,
Biogás,2014,Dezembro, 2 704,67 576 565,
Biogás,2015,Janeiro, 2 576,65 813 840,
Biogás,2015,Fevereiro, 8 547,59 148 855,
Biogás,2015,Março, 1 206,64 085 171,
Biogás,2015,Abril,733,61 566 425,
Biogás,2015,Maio, 4 830,64 047 112,
Biogás,2015,Junho,69,65 324 458,
Biogás,2015,Julho, 1 179,72 734 215,
Biogás,2015,Agosto, 2 454,71 618 240,
Biogás,2015,Setembro,89,67 872 771,
Biogás,2015,Outubro,92,66 483 140,
Biogás,2015,Novembro, 1 005,64 448 720,
Biogás,2015,Dezembro,159,67 875 315,
Biogás,2016,Janeiro, 5 439,68 520 735,
Biogás,2016,Fevereiro,562,61 329 139,
Biogás,2016,Março, 17 982,64 542 757,
Biogás,2016,Abril,49,62 424 970,
Biogás,2016,Maio,60,64 736 196,
Biogás,2016,Junho,64,64 590 878,
Biogás,2016,Julho,42,71 359 402,
Biogás,2016,Agosto, 1 895,74 547 852,
Biogás,2016,Setembro,76,69 968 927,
Biogás,2016,Outubro,29,67 265 591,
Biogás,2016,Novembro,39,64 184 112,
Biogás,2016,Dezembro,66,67 533 504,
Biogás,2017,Janeiro,41,67 212 584,
Biogás,2017,Fevereiro,9,59 246 108,
